default	dev-core
dev-ultra-minimal	dep:rusqlite;dep:bincode
dev-minimal	dev-ultra-minimal;dep:rayon
dev-core	dev-minimal;dep:tokio-stream;dep:async-stream;prometheus
dev-full	dev-core;tree-sitter
rust-lang	dep:tree-sitter-rust
python-lang	dep:tree-sitter-python
javascript-lang	dep:tree-sitter-javascript
typescript-lang	dep:tree-sitter-typescript
dev-rust-only	dev-minimal;rust-lang;dep:tree-sitter
dev-python-only	dev-minimal;python-lang;dep:tree-sitter
dev-js-only	dev-minimal;javascript-lang;dep:tree-sitter
dev-ts-only	dev-minimal;typescript-lang;dep:tree-sitter
tree-sitter	dep:tree-sitter;rust-lang;python-lang;javascript-lang;typescript-lang
production	tree-sitter;security;memory-optimization;web-full;tui;wasm-plugins;prometheus;dep:rayon;dep:tokio-stream;dep:async-stream;dep:rusqlite;dep:bincode
production-secure	tree-sitter;memory-optimization;web-full;tui;wasm-plugins;prometheus;dep:rayon;dep:tokio-stream;dep:async-stream;dep:rusqlite;dep:bincode
prometheus	dep:prometheus
crypto-minimal	
crypto-full	dep:rustls;dep:ring;dep:argon2;dep:subtle
security	crypto-full;web-full;dep:casbin;dep:oauth2;dep:openidconnect;dep:jsonwebtoken;dep:vaultrs;dep:config
web-client	
web-server	
web-full	web-client;web-server;dep:tower_governor;dep:tokio-tungstenite
tui	dep:ratatui;dep:crossterm;dep:tui-input
wasm-plugins	dep:wasmtime;dep:wasmtime-wasi;dep:cap-std;dep:wit-bindgen
memory-optimization	dep:mimalloc;dep:bumpalo;dep:bumpalo-herd;dep:memmap2;dep:rkyv
ai	
local-ai	ai
image-rendering	
chaos	dep:fail;dep:statrs;dep:ndarray-stats
regression-detection	dep:changepoint;dep:linfa;dep:influxdb2
sla-monitoring	dep:metrics-exporter-prometheus;dep:tokio-metrics
zero-cost	local-ai;tree-sitter;memory-optimization
full-featured	local-ai;tree-sitter;memory-optimization;image-rendering;tui
enterprise	local-ai;tree-sitter;memory-optimization;image-rendering;tui;wasm-plugins;chaos;sla-monitoring
alpha	tui;tree-sitter;local-ai;security;memory-optimization
streaming-iterator	
tower	
tower-http	
mimalloc	
graphql-api	
yaml	
reqwest	
