feature,depends_on_feature,depends_on_dep
default,dev-core,
dev-ultra-minimal,,rusqlite
dev-ultra-minimal,,bincode
dev-minimal,dev-ultra-minimal,
dev-minimal,,rayon
dev-core,dev-minimal,
dev-core,,tokio-stream
dev-core,,async-stream
dev-core,prometheus,
dev-full,dev-core,
dev-full,tree-sitter,
rust-lang,,tree-sitter-rust
python-lang,,tree-sitter-python
javascript-lang,,tree-sitter-javascript
typescript-lang,,tree-sitter-typescript
dev-rust-only,dev-minimal,
dev-rust-only,rust-lang,
dev-rust-only,,tree-sitter
dev-python-only,dev-minimal,
dev-python-only,python-lang,
dev-python-only,,tree-sitter
dev-js-only,dev-minimal,
dev-js-only,javascript-lang,
dev-js-only,,tree-sitter
dev-ts-only,dev-minimal,
dev-ts-only,typescript-lang,
dev-ts-only,,tree-sitter
tree-sitter,,tree-sitter
tree-sitter,rust-lang,
tree-sitter,python-lang,
tree-sitter,javascript-lang,
tree-sitter,typescript-lang,
production,tree-sitter,
production,security,
production,memory-optimization,
production,web-full,
production,tui,
production,wasm-plugins,
production,prometheus,
production,,rayon
production,,tokio-stream
production,,async-stream
production,,rusqlite
production,,bincode
production-secure,tree-sitter,
production-secure,memory-optimization,
production-secure,web-full,
production-secure,tui,
production-secure,wasm-plugins,
production-secure,prometheus,
production-secure,,rayon
production-secure,,tokio-stream
production-secure,,async-stream
production-secure,,rusqlite
production-secure,,bincode
prometheus,,prometheus
crypto-full,,rustls
crypto-full,,ring
crypto-full,,argon2
crypto-full,,subtle
security,crypto-full,
security,web-full,
security,,casbin
security,,oauth2
security,,openidconnect
security,,jsonwebtoken
security,,vaultrs
security,,config
web-full,web-client,
web-full,web-server,
web-full,,tower_governor
web-full,,tokio-tungstenite
tui,,ratatui
tui,,crossterm
tui,,tui-input
wasm-plugins,,wasmtime
wasm-plugins,,wasmtime-wasi
wasm-plugins,,cap-std
wasm-plugins,,wit-bindgen
memory-optimization,,mimalloc
memory-optimization,,bumpalo
memory-optimization,,bumpalo-herd
memory-optimization,,memmap2
memory-optimization,,rkyv
local-ai,ai,
chaos,,fail
chaos,,statrs
chaos,,ndarray-stats
regression-detection,,changepoint
regression-detection,,linfa
regression-detection,,influxdb2
sla-monitoring,,metrics-exporter-prometheus
sla-monitoring,,tokio-metrics
zero-cost,local-ai,
zero-cost,tree-sitter,
zero-cost,memory-optimization,
full-featured,local-ai,
full-featured,tree-sitter,
full-featured,memory-optimization,
full-featured,image-rendering,
full-featured,tui,
enterprise,local-ai,
enterprise,tree-sitter,
enterprise,memory-optimization,
enterprise,image-rendering,
enterprise,tui,
enterprise,wasm-plugins,
enterprise,chaos,
enterprise,sla-monitoring,
alpha,tui,
alpha,tree-sitter,
alpha,local-ai,
alpha,security,
alpha,memory-optimization,
