feature,total_matches,files_count
ai,74,10
alpha,0,0
chaos,5,1
crypto-full,0,0
crypto-minimal,0,0
dev-core,0,0
dev-full,0,0
dev-js-only,0,0
dev-minimal,0,0
dev-python-only,0,0
dev-rust-only,0,0
dev-ts-only,0,0
dev-ultra-minimal,0,0
enterprise,0,0
full-featured,0,0
graphql-api,4,1
image-rendering,19,6
javascript-lang,6,3
local-ai,4,1
memory-optimization,26,8
mimalloc,3,1
production,0,0
production-secure,0,0
prometheus,31,6
python-lang,6,3
regression-detection,5,1
reqwest,4,1
rust-lang,6,3
security,75,12
sla-monitoring,0,0
streaming-iterator,0,0
tower,0,0
tower-http,0,0
tree-sitter,128,37
tui,9,2
typescript-lang,6,3
wasm-plugins,68,12
web-client,0,0
web-full,0,0
web-server,0,0
yaml,2,1
zero-cost,0,0
